법정동,단지명,주소,세대수,준공연도,브랜드,건축유형,역세권,노선,전용면적,평형,2025.03,거래일,2024.01~03,2022.01~03,2025.05_추정_실거래가,2025.05_보정_추정실거래가,20250521호가,기준단지_평단가,보정_평단가,유사단지,대지지분,추정가,추천 태그,리포트 링크
잠원동,래미안신반포팰리스,잠원로8길 43,843.0,2016.0,브랜드,신축,Y,"3, 신분당선",84.42,34.0,34.75,2025.01,-,-,28.43,32.71616541353384,-,0.0,,,,,,
잠원동,래미안신반포팰리스,잠원로8길 44,843.0,2016.0,브랜드,신축,Y,"3, 신분당선",84.46,34.0,33.8,2024.11,29.45,-,38.79252971137521,38.79252971137521,-,0.45930061225876406,,,,,,
잠원동,래미안신반포팰리스,잠원로8길 45,843.0,2016.0,브랜드,신축,Y,"3, 신분당선",84.46,34.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,래미안신반포팰리스,잠원로8길 46,843.0,2016.0,브랜드,신축,Y,"3, 신분당선",84.49,33.0,38,2025.03,29.75,34.25,38.0,38.0,41,0.44975736773582675,,,,,,
잠원동,로즈빌,신반포로41길 69,19.0,1994.0,나홀로,기축,N,"3, 신분당선",187.09,64.0,10.6,2017.05,-,-,28.43,28.43,33,0.0,,,,,,
잠원동,로즈빌,신반포로41길 70,19.0,1994.0,나홀로,기축,N,"3, 신분당선",172.93,59.0,10.3,2017.07,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,로즈빌,신반포로41길 71,19.0,1994.0,나홀로,기축,N,"3, 신분당선",153.64,52.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,롯데캐슬갤럭시1차,잠원로14길 3,256.0,2002.0,90년대형,리모델링,N,"3, 신분당선",151.11,58.0,29.3,2021.06,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,롯데캐슬갤럭시1차,잠원로14길 4,256.0,2002.0,90년대형,리모델링,N,"3, 신분당선",133.41,52.0,37.1,2025.03,-,32.5,37.1,37.1,41,0.27809009819353875,,,,,,
잠원동,롯데캐슬갤럭시1차,잠원로14길 5,256.0,2002.0,90년대형,리모델링,N,"3, 신분당선",123.6,49.0,17.1,2018.08,-,-,28.43,24.9,-,0.0,,,,,,
잠원동,롯데캐슬갤럭시1차,잠원로14길 6,256.0,2002.0,90년대형,리모델링,N,"3, 신분당선",106.15,42.0,35,2025.03,31.5,-,35.0,35.0,36,0.32972209138012243,,,,,,
잠원동,롯데캐슬갤럭시2차,잠원로14길 23,428.0,2004.0,90년대형,리모델링,N,"3, 신분당선",148.86,50.0,31,2025.02,28.2,-,31.0,31.0,-,0.20824936181647183,,,,,,
잠원동,롯데캐슬갤럭시2차,잠원로14길 24,428.0,2004.0,90년대형,리모델링,N,"3, 신분당선",132.16,46.0,36.3,2025.03,-,-,36.3,36.3,37,0.27466707021791764,,,,,,
잠원동,롯데캐슬갤럭시2차,잠원로14길 25,428.0,2004.0,90년대형,리모델링,N,"3, 신분당선",132.78,46.0,33,2025.02,-,-,33.0,33.0,39,0.24853140533212834,,,,,,
잠원동,롯데캐슬갤럭시2차,잠원로14길 26,428.0,2004.0,90년대형,리모델링,N,"3, 신분당선",110.11,39.0,29,2024.07,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,롯데캐슬갤럭시2차,잠원로14길 27,428.0,2004.0,90년대형,리모델링,N,"3, 신분당선",109.56,39.0,27.1,2024.05,27.1,30,25.790166666666668,25.790166666666668,35,0.23539765121090422,,,,,,
잠원동,메이플자이,잠원동 60-3번지 일대,3307.0,2025.0,브랜드,신축,Y,"3, 7, 신분당선",,,,,,,0.0,,,0.0,,,,,,
잠원동,미주파스텔,잠원로 166-4,91.0,2002.0,나홀로,기축,N,3,84.64,31.0,20.19,2025.03,-,-,20.19,20.19,27,0.2385396975425331,,,,,,
잠원동,미주파스텔,잠원로 166-5,91.0,2002.0,나홀로,기축,N,3,77.09,28.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,미주파스텔,잠원로 166-6,91.0,2002.0,나홀로,기축,N,3,59.57,23.0,19.05,2025.03,14.5,17.8,19.05,19.05,19.3,0.31979184153097195,,,,,,
잠원동,미주파스텔,잠원로 166-7,91.0,2002.0,나홀로,기축,N,3,59.76,21.0,15.7,2024.09,14.2,-,17.35845070422535,17.35845070422535,20.5,0.29046938929426624,,,,,,
잠원동,미주파스텔,잠원로 166-8,91.0,2002.0,나홀로,기축,N,3,56.73,20.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,반포 르엘,신반포로23길 23,596.0,2022.0,브랜드,신축,Y,"3,7,9",121.6,47.0,57,2025.02,-,-,57.0,57.0,70,0.46875,,,,,,
잠원동,반포 르엘,신반포로23길 24,596.0,2022.0,브랜드,신축,Y,"3,7,9",97.47,38.0,50,2025.03,37.5,-,50.0,50.0,57,0.5129783523135324,,,,,,
잠원동,반포 르엘,신반포로23길 25,596.0,2022.0,브랜드,신축,Y,"3,7,9",84.98,33.0,43.7,2025.03,-,-,43.7,43.7,50,0.5142386443869146,,,,,,
